message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.855435])";"30";"turtlesim1.sim";"1694795460.559614020";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.823454])";"30";"turtlesim1.sim";"1694795460.543407928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.791474])";"30";"turtlesim1.sim";"1694795460.528081594";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.759493])";"30";"turtlesim1.sim";"1694795460.511827856";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.727512])";"30";"turtlesim1.sim";"1694795460.495623194";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.695532])";"30";"turtlesim1.sim";"1694795460.479670482";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.663551])";"30";"turtlesim1.sim";"1694795460.463940633";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.631570])";"30";"turtlesim1.sim";"1694795460.447218688";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.599590])";"30";"turtlesim1.sim";"1694795460.431538702";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.567609])";"30";"turtlesim1.sim";"1694795460.415917806";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.535629])";"30";"turtlesim1.sim";"1694795460.399263400";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.503648])";"30";"turtlesim1.sim";"1694795460.383511739";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.471667])";"30";"turtlesim1.sim";"1694795460.367827552";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.439687])";"30";"turtlesim1.sim";"1694795460.351142182";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.407706])";"30";"turtlesim1.sim";"1694795460.335581839";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.375725])";"30";"turtlesim1.sim";"1694795460.319991370";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.343745])";"30";"turtlesim1.sim";"1694795460.303231998";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.311764])";"30";"turtlesim1.sim";"1694795460.287989466";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.279783])";"30";"turtlesim1.sim";"1694795460.271597768";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.247803])";"30";"turtlesim1.sim";"1694795460.255769494";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.215822])";"30";"turtlesim1.sim";"1694795460.239507971";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.183842])";"30";"turtlesim1.sim";"1694795460.223703910";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.151861])";"30";"turtlesim1.sim";"1694795460.207101946";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.119880])";"30";"turtlesim1.sim";"1694795460.191374266";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.087900])";"30";"turtlesim1.sim";"1694795460.175740755";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.055919])";"30";"turtlesim1.sim";"1694795460.160089180";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=8.023938])";"30";"turtlesim1.sim";"1694795460.143274721";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.991958])";"30";"turtlesim1.sim";"1694795460.127627793";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.959977])";"30";"turtlesim1.sim";"1694795460.111927174";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.927997])";"30";"turtlesim1.sim";"1694795460.095639468";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.896016])";"30";"turtlesim1.sim";"1694795460.079241748";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.864035])";"30";"turtlesim1.sim";"1694795460.063926556";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.832055])";"30";"turtlesim1.sim";"1694795460.047655767";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.800074])";"30";"turtlesim1.sim";"1694795460.031657271";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.768093])";"30";"turtlesim1.sim";"1694795460.015447476";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.736113])";"30";"turtlesim1.sim";"1694795459.647170856";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.704132])";"30";"turtlesim1.sim";"1694795459.631960088";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.672152])";"30";"turtlesim1.sim";"1694795459.615672290";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.640171])";"30";"turtlesim1.sim";"1694795459.599358613";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.608190])";"30";"turtlesim1.sim";"1694795459.583870709";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.576210])";"30";"turtlesim1.sim";"1694795459.567449929";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.544229])";"30";"turtlesim1.sim";"1694795459.551283383";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.512248])";"30";"turtlesim1.sim";"1694795459.535894043";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.480268])";"30";"turtlesim1.sim";"1694795459.519434625";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.448287])";"30";"turtlesim1.sim";"1694795459.504053443";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.416306])";"30";"turtlesim1.sim";"1694795459.487582658";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.384326])";"30";"turtlesim1.sim";"1694795459.472194566";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.352345])";"30";"turtlesim1.sim";"1694795459.455655454";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.320365])";"30";"turtlesim1.sim";"1694795459.439378467";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.288384])";"30";"turtlesim1.sim";"1694795459.423838895";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.256403])";"30";"turtlesim1.sim";"1694795459.407464640";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.224423])";"30";"turtlesim1.sim";"1694795459.391217611";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.192442])";"30";"turtlesim1.sim";"1694795459.375589374";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.160461])";"30";"turtlesim1.sim";"1694795459.359243204";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.128481])";"30";"turtlesim1.sim";"1694795459.343748252";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.096500])";"30";"turtlesim1.sim";"1694795459.327219871";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.064520])";"30";"turtlesim1.sim";"1694795459.312044622";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.032539])";"30";"turtlesim1.sim";"1694795459.295560013";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=7.000558])";"30";"turtlesim1.sim";"1694795459.279395138";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.968578])";"30";"turtlesim1.sim";"1694795459.264002185";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.936597])";"30";"turtlesim1.sim";"1694795459.247596310";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.904616])";"30";"turtlesim1.sim";"1694795459.231182778";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.872636])";"30";"turtlesim1.sim";"1694795459.215761652";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.840655])";"30";"turtlesim1.sim";"1694795459.199397306";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.808675])";"30";"turtlesim1.sim";"1694795459.183970174";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.776694])";"30";"turtlesim1.sim";"1694795459.167603006";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.744713])";"30";"turtlesim1.sim";"1694795459.151244925";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.712733])";"30";"turtlesim1.sim";"1694795459.135781849";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.680752])";"30";"turtlesim1.sim";"1694795459.119341053";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.648771])";"30";"turtlesim1.sim";"1694795459.103705692";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.616791])";"30";"turtlesim1.sim";"1694795459.087326888";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.584810])";"30";"turtlesim1.sim";"1694795459.071832297";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.552830])";"30";"turtlesim1.sim";"1694795459.055449708";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.520849])";"30";"turtlesim1.sim";"1694795459.040033161";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.488868])";"30";"turtlesim1.sim";"1694795459.023566024";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.456888])";"30";"turtlesim1.sim";"1694795459.008070037";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.424907])";"30";"turtlesim1.sim";"1694795458.991525600";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.392926])";"30";"turtlesim1.sim";"1694795458.976109800";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.360946])";"30";"turtlesim1.sim";"1694795458.959801085";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.328965])";"30";"turtlesim1.sim";"1694795458.943398187";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.296984])";"30";"turtlesim1.sim";"1694795458.928127838";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.265004])";"30";"turtlesim1.sim";"1694795458.911803399";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.233023])";"30";"turtlesim1.sim";"1694795458.895414169";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.201043])";"30";"turtlesim1.sim";"1694795458.880031790";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.169062])";"30";"turtlesim1.sim";"1694795458.863658014";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.137081])";"30";"turtlesim1.sim";"1694795458.847239255";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.105101])";"30";"turtlesim1.sim";"1694795458.831718570";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.073120])";"30";"turtlesim1.sim";"1694795458.815267917";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.041139])";"30";"turtlesim1.sim";"1694795458.799805049";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=6.009159])";"30";"turtlesim1.sim";"1694795458.783431813";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=5.977178])";"30";"turtlesim1.sim";"1694795458.768003963";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=5.945198])";"30";"turtlesim1.sim";"1694795458.751866601";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.090002, y=5.913217])";"30";"turtlesim1.sim";"1694795458.735672919";"./src/turtle.cpp:update:260"
